id,act,attRangeType,classType,coldtimer,delayTime,descs,distance,flySpeed,flyeff,name,pos,protoids,selfeff,selfindex,skilltype,soundid,spell_time,tareff,targetType,targetindex,tarhitpoint,tarsoundid,url,damage_mp,desc,foreskill,learn_lv,lv,money,petskillorder,soulpowercost
100000010,0,0,0,0,0,,0,,,vip体验,100000010,,,,1,,0,,3,,,,0,0,VIP体验：1.无限使用小飞鞋；2.打怪经验+40%。,,0,1,0,,0
100000011,0,0,0,0,0,,0,,,vip体验,100000011,,,,1,,0,,3,,,,0,0,三天VIP体验：|n|1.每天领取10点礼券；|n|2.每天领取20个限时小飞鞋；|n|3.装备升星基础成功率提升10%；|n|4.可使用远程商店和远程仓库功能；|n|5.可使用自动挂机中的自动修理和选择怪物功能。,,0,1,0,,0
200000300,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000601,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000602,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000603,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000100,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000401,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000402,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000403,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000200,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000501,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000502,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
200000503,0,,,2000,0,,0,,,,,,0,0,,0,,,,,,0,,,,,,,,,
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加8点远防,,60,1,2000,,100000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加16点远防,,60,2,4000,,150000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加24点远防,,60,3,6000,,200000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加32点远防,,60,4,8000,,250000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加40点远防,,60,5,10000,,300000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加48点远防,,60,6,12000,,350000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加56点远防,,60,7,14000,,400000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加64点远防,,60,8,16000,,450000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加72点远防,,60,9,18000,,500000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加80点远防,,60,10,20000,,550000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加88点远防,,60,11,22000,,600000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加96点远防,,60,12,24000,,650000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加104点远防,,60,13,26000,,700000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加112点远防,,60,14,28000,,750000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加120点远防,,60,15,30000,,800000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加128点远防,,60,16,32000,,850000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加136点远防,,60,17,34000,,900000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加144点远防,,60,18,36000,,950000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加152点远防,,60,19,38000,,1000000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加160点远防,,60,20,40000,,1050000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加168点远防,,60,21,42000,,1100000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加176点远防,,60,22,44000,,1150000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加184点远防,,60,23,46000,,1200000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加192点远防,,60,24,48000,,1250000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加200点远防,,60,25,50000,,1300000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加208点远防,,60,26,52000,,1350000
511100004,,0,1,0,0,|n|永久增加8点远防,0,,,远防加强,10,0$,,,2,,0,,3,,,,71100012,0,被动技能，永久增加216点远防,,60,27,54000,,1400000
