key,iconid,lucky_id,lucky_type,money,pro_item,rate,up_item
10,13120010,13140010,123,500,121,10000,120$1
11,13120010,13140010,123,500,121,10000,120$1
12,13120010,13140010,123,500,121,10000,120$1
13,13120010,13140010,123,500,121,10000,120$1
14,13120010,13140010,123,500,121,10000,120$1
15,13120010,13140010,123,500,121,9000,120$1
16,13120010,13140010,123,500,121,9000,120$1
17,13120010,13140010,123,500,121,9000,120$1
18,13120010,13140010,123,500,121,9000,120$1
19,13120010,13140010,123,500,121,9000,120$1
20,13120010,13140010,123,500,121,8000,120$1
21,13120010,13140010,123,500,121,8000,120$1
22,13120010,13140010,123,500,121,8000,120$1
23,13120010,13140010,123,500,121,8000,120$1
24,13120010,13140010,123,500,121,8000,120$1
25,13120010,13140010,123,500,121,7000,120$1
26,13120010,13140010,123,500,121,7000,120$1
27,13120010,13140010,123,500,121,7000,120$1
28,13120010,13140010,123,500,121,7000,120$1
29,13120010,13140010,123,500,121,7000,120$1
30,13120010,13140010,123,500,121,6000,120$1
31,13120010,13140010,123,500,121,6000,120$1
32,13120010,13140010,123,500,121,6000,120$1
33,13120010,13140010,123,500,121,6000,120$1
34,13120010,13140010,123,500,121,6000,120$1
35,13120010,13140010,123,500,121,5500,120$1
36,13120010,13140010,123,500,121,5500,120$1
37,13120010,13140010,123,500,121,5500,120$1
38,13120010,13140010,123,500,121,5500,120$1
39,13120010,13140010,123,500,121,5500,120$1
40,13120010,13140010,123,500,121,5000,120$1
41,13120010,13140010,123,500,121,5000,120$1
42,13120010,13140010,123,500,121,5000,120$1
43,13120010,13140010,123,500,121,5000,120$1
44,13120010,13140010,123,500,121,5000,120$1
45,13120010,13140010,123,500,121,4500,120$1
46,13120010,13140010,123,500,121,4500,120$1
47,13120010,13140010,123,500,121,4500,120$1
48,13120010,13140010,123,500,121,4500,120$1
49,13120010,13140010,123,500,121,4500,120$1
50,13120010,13140010,123,500,121,4000,120$1
51,13120010,13140010,123,500,121,4000,120$1
52,13120010,13140010,123,500,121,4000,120$1
53,13120010,13140010,123,500,121,4000,120$1
54,13120010,13140010,123,500,121,4000,120$1
55,13120010,13140010,123,500,121,3500,120$1
56,13120010,13140010,123,500,121,3500,120$1
57,13120010,13140010,123,500,121,3500,120$1
58,13120010,13140010,123,500,121,3500,120$1
59,13120010,13140010,123,500,121,3500,120$1
60,13120010,13140010,123,500,121,3000,120$1
61,13120010,13140010,123,500,121,3000,120$1
62,13120010,13140010,123,500,121,3000,120$1
63,13120010,13140010,123,500,121,3000,120$1
64,13120010,13140010,123,500,121,3000,120$1
65,13120010,13140010,123,500,121,2500,120$1
66,13120010,13140010,123,500,121,2500,120$1
67,13120010,13140010,123,500,121,2500,120$1
68,13120010,13140010,123,500,121,2500,120$1
69,13120010,13140010,123,500,121,2500,120$1
70,13120010,13140010,123,500,121,2000,120$1
71,13120010,13140010,123,500,121,2000,120$1
72,13120010,13140010,123,500,121,2000,120$1
73,13120010,13140010,123,500,121,2000,120$1
74,13120010,13140010,123,500,121,2000,120$1
75,13120010,13140010,123,500,121,1500,120$1
76,13120010,13140010,123,500,121,1500,120$1
77,13120010,13140010,123,500,121,1500,120$1
78,13120010,13140010,123,500,121,1500,120$1
79,13120010,13140010,123,500,121,1500,120$1
80,13120010,13140010,123,500,121,1000,120$1
81,13120010,13140010,123,500,121,1000,120$1
82,13120010,13140010,123,500,121,1000,120$1
83,13120010,13140010,123,500,121,1000,120$1
84,13120010,13140010,123,500,121,1000,120$1
85,13120010,13140010,123,500,121,1000,120$1
86,13120010,13140010,123,500,121,500,120$1
87,13120010,13140010,123,500,121,500,120$1
88,13120010,13140010,123,500,121,500,120$1
89,13120010,13140010,123,500,121,500,120$1
90,13120010,13140010,123,500,121,500,120$1
91,13120010,13140010,123,500,121,500,120$1
92,13120010,13140010,123,500,121,500,120$1
93,13120010,13140010,123,500,121,500,120$1
94,13120010,13140010,123,500,121,500,120$1
95,13120010,13140010,123,500,121,500,120$1
96,13120010,13140010,123,500,121,500,120$1
97,13120010,13140010,123,500,121,500,120$1
98,13120010,13140010,123,500,121,500,120$1
99,13120010,13140010,123,500,121,500,120$1
100,13120010,13140010,123,500,121,500,120$1
